id;pisco;data;mes;NOM_EST;COD_EST;COD_PISCO
215;74.38282776;;1/11/1998;ANANEA;X114050;1
216;23.46092415;49.2;1/12/1998;ANANEA;X114050;1
217;77.21066284;136.9;1/01/1999;ANANEA;X114050;1
218;87.10585022;103.9;1/02/1999;ANANEA;X114050;1
219;124.742897;103.6;1/03/1999;ANANEA;X114050;1
220;60.02854919;46.7;1/04/1999;ANANEA;X114050;1
221;12.61634541;12.6;1/05/1999;ANANEA;X114050;1
222;1.697565079;1.4;1/06/1999;ANANEA;X114050;1
223;2.275129795;2.9;1/07/1999;ANANEA;X114050;1
224;1.855182052;1.5;1/08/1999;ANANEA;X114050;1
225;36.7341423;40.7;1/09/1999;ANANEA;X114050;1
226;46.02905655;41.7;1/10/1999;ANANEA;X114050;1
227;40.901474;53.7;1/11/1999;ANANEA;X114050;1
228;49.88118362;67.5;1/12/1999;ANANEA;X114050;1
229;118.0806122;93.2;1/01/2000;ANANEA;X114050;1
230;93.95876312;89.8;1/02/2000;ANANEA;X114050;1
231;65.0491333;91;1/03/2000;ANANEA;X114050;1
232;15.19447422;23.7;1/04/2000;ANANEA;X114050;1
233;10.16848183;7.1;1/05/2000;ANANEA;X114050;1
234;13.3065834;18.1;1/06/2000;ANANEA;X114050;1
235;2.456764698;4.1;1/07/2000;ANANEA;X114050;1
236;21.29546356;12.7;1/08/2000;ANANEA;X114050;1
237;9.548134804;20.4;1/09/2000;ANANEA;X114050;1
238;87.12657166;75;1/10/2000;ANANEA;X114050;1
239;22.57614708;26.1;1/11/2000;ANANEA;X114050;1
240;93.22177124;94.5;1/12/2000;ANANEA;X114050;1
241;131.18573;132.9;1/01/2001;ANANEA;X114050;1
242;46.21726608;46.2;1/02/2001;ANANEA;X114050;1
243;86.54789734;85.7;1/03/2001;ANANEA;X114050;1
244;48.66421509;49.9;1/04/2001;ANANEA;X114050;1
245;51.53188324;62.6;1/05/2001;ANANEA;X114050;1
246;1.344890594;0.5;1/06/2001;ANANEA;X114050;1
247;12.83871937;13.2;1/07/2001;ANANEA;X114050;1
248;15.46909523;13.6;1/08/2001;ANANEA;X114050;1
249;13.76519299;11.9;1/09/2001;ANANEA;X114050;1
250;52.61218262;50.2;1/10/2001;ANANEA;X114050;1
251;67.7248764;63.7;1/11/2001;ANANEA;X114050;1
252;61.61604309;59.8;1/12/2001;ANANEA;X114050;1
253;68.17626953;65.9;1/01/2002;ANANEA;X114050;1
254;121.8083038;121.3;1/02/2002;ANANEA;X114050;1
255;113.2612915;107.9;1/03/2002;ANANEA;X114050;1
256;43.94427109;42.3;1/04/2002;ANANEA;X114050;1
257;12.88778114;10.1;1/05/2002;ANANEA;X114050;1
258;1.077462077;0.5;1/06/2002;ANANEA;X114050;1
259;28.70204735;27.2;1/07/2002;ANANEA;X114050;1
260;18.7348175;19.7;1/08/2002;ANANEA;X114050;1
261;37.48771286;36.9;1/09/2002;ANANEA;X114050;1
262;52.98501205;48.5;1/10/2002;ANANEA;X114050;1
263;101.6488419;105.7;1/11/2002;ANANEA;X114050;1
264;72.1980896;71.2;1/12/2002;ANANEA;X114050;1
265;135.6686554;179.3;1/01/2003;ANANEA;X114050;1
266;84.69985199;68.6;1/02/2003;ANANEA;X114050;1
267;102.1037292;99.2;1/03/2003;ANANEA;X114050;1
268;49.3608017;48.4;1/04/2003;ANANEA;X114050;1
269;4.933685303;2.9;1/05/2003;ANANEA;X114050;1
270;9.599494934;9.4;1/06/2003;ANANEA;X114050;1
271;0.592960536;;1/07/2003;ANANEA;X114050;1
272;20.93690109;17.1;1/08/2003;ANANEA;X114050;1
273;13.95584774;10.3;1/09/2003;ANANEA;X114050;1
274;46.80561066;61.2;1/10/2003;ANANEA;X114050;1
275;45.10826492;37;1/11/2003;ANANEA;X114050;1
276;80.7220459;84.3;1/12/2003;ANANEA;X114050;1
277;135.6824188;236.3;1/01/2004;ANANEA;X114050;1
278;117.0697937;116;1/02/2004;ANANEA;X114050;1
279;78.15331268;77.1;1/03/2004;ANANEA;X114050;1
280;39.34515762;37.9;1/04/2004;ANANEA;X114050;1
281;14.78350735;11.7;1/05/2004;ANANEA;X114050;1
282;15.36638641;21.4;1/06/2004;ANANEA;X114050;1
283;6.761393547;6;1/07/2004;ANANEA;X114050;1
284;16.48927689;11.4;1/08/2004;ANANEA;X114050;1
285;29.86885834;20;1/09/2004;ANANEA;X114050;1
286;38.52037048;45.8;1/10/2004;ANANEA;X114050;1
287;61.20580292;60.2;1/11/2004;ANANEA;X114050;1
288;75.34449768;81.8;1/12/2004;ANANEA;X114050;1
289;81.37585449;78.4;1/01/2005;ANANEA;X114050;1
290;144.6882477;152.9;1/02/2005;ANANEA;X114050;1
291;56.36714554;56;1/03/2005;ANANEA;X114050;1
292;20.90282059;17.7;1/04/2005;ANANEA;X114050;1
293;2.173756361;1.1;1/05/2005;ANANEA;X114050;1
294;0.388245225;0.2;1/06/2005;ANANEA;X114050;1
295;0.297739804;;1/07/2005;ANANEA;X114050;1
296;10.81744576;14;1/08/2005;ANANEA;X114050;1
297;9.122880936;7.9;1/09/2005;ANANEA;X114050;1
298;52.6956749;51.9;1/10/2005;ANANEA;X114050;1
299;64.49980164;57.3;1/11/2005;ANANEA;X114050;1
300;133.9203491;139.5;1/12/2005;ANANEA;X114050;1
301;162.8551331;165;1/01/2006;ANANEA;X114050;1
302;80.48586273;83.1;1/02/2006;ANANEA;X114050;1
303;61.54827118;61.3;1/03/2006;ANANEA;X114050;1
304;63.20491028;62.6;1/04/2006;ANANEA;X114050;1
305;3.34204936;2.8;1/05/2006;ANANEA;X114050;1
306;5.591360569;5.4;1/06/2006;ANANEA;X114050;1
307;0.355250776;;1/07/2006;ANANEA;X114050;1
308;17.99788094;20.8;1/08/2006;ANANEA;X114050;1
309;24.7022419;29.2;1/09/2006;ANANEA;X114050;1
310;47.96125031;70.2;1/10/2006;ANANEA;X114050;1
311;76.2722702;69.2;1/11/2006;ANANEA;X114050;1
312;91.91609955;98.1;1/12/2006;ANANEA;X114050;1
313;105.5532684;118.1;1/01/2007;ANANEA;X114050;1
314;58.57558823;79.2;1/02/2007;ANANEA;X114050;1
315;101.6726227;96.9;1/03/2007;ANANEA;X114050;1
